,market_ticker,end_period_ts,mean_dollars,previous_dollars,open_interest_fp,volume_fp,open_dollars,close_dollars,high_dollars,low_dollars,ask_close_dollars,bid_close_dollars,ask_high_dollars,bid_high_dollars,ask_low_dollars,bid_low_dollars,ask_open_dollars,bid_open_dollars,price,yes_ask,yes_bid
8170,KXMLBGAME-26APR191420NYMCHC-NYM,1776603600,0.46,0.46,59946.22,6618.50,0.46,0.46,0.46,0.45,0.46,0.45,0.46,0.45,0.46,0.45,0.46,0.45,"{'close_dollars': '0.4600', 'high_dollars': '0.4600', 'low_dollars': '0.4500', 'mean_dollars': '0.4600', 'open_dollars': '0.4600', 'previous_dollars': '0.4600'}","{'close_dollars': '0.4600', 'high_dollars': '0.4600', 'low_dollars': '0.4600', 'open_dollars': '0.4600'}","{'close_dollars': '0.4500', 'high_dollars': '0.4500', 'low_dollars': '0.4500', 'open_dollars': '0.4500'}"
8171,KXMLBGAME-26APR191420NYMCHC-NYM,1776607200,0.46,0.46,65125.57,5284.39,0.46,0.46,0.46,0.46,0.46,0.45,0.46,0.45,0.46,0.45,0.46,0.45,"{'close_dollars': '0.4600', 'high_dollars': '0.4600', 'low_dollars': '0.4600', 'mean_dollars': '0.4600', 'open_dollars': '0.4600', 'previous_dollars': '0.4600'}","{'close_dollars': '0.4600', 'high_dollars': '0.4600', 'low_dollars': '0.4600', 'open_dollars': '0.4600'}","{'close_dollars': '0.4500', 'high_dollars': '0.4500', 'low_dollars': '0.4500', 'open_dollars': '0.4500'}"
8172,KXMLBGAME-26APR191420NYMCHC-NYM,1776610800,0.4598,0.46,72622.64,7599.07,0.46,0.46,0.46,0.45,0.46,0.45,0.46,0.45,0.46,0.45,0.46,0.45,"{'close_dollars': '0.4600', 'high_dollars': '0.4600', 'low_dollars': '0.4500', 'mean_dollars': '0.4598', 'open_dollars': '0.4600', 'previous_dollars': '0.4600'}","{'close_dollars': '0.4600', 'high_dollars': '0.4600', 'low_dollars': '0.4600', 'open_dollars': '0.4600'}","{'close_dollars': '0.4500', 'high_dollars': '0.4500', 'low_dollars': '0.4500', 'open_dollars': '0.4500'}"
8173,KXMLBGAME-26APR191420NYMCHC-NYM,1776614400,0.4517,0.46,91915.11,21208.47,0.46,0.45,0.46,0.44,0.45,0.44,0.46,0.45,0.45,0.44,0.46,0.45,"{'close_dollars': '0.4500', 'high_dollars': '0.4600', 'low_dollars': '0.4400', 'mean_dollars': '0.4517', 'open_dollars': '0.4600', 'previous_dollars': '0.4600'}","{'close_dollars': '0.4500', 'high_dollars': '0.4600', 'low_dollars': '0.4500', 'open_dollars': '0.4600'}","{'close_dollars': '0.4400', 'high_dollars': '0.4500', 'low_dollars': '0.4400', 'open_dollars': '0.4500'}"
8174,KXMLBGAME-26APR191420NYMCHC-NYM,1776618000,0.4406,0.45,161601.44,69869.33,0.45,0.44,0.45,0.43,0.44,0.43,0.45,0.44,0.44,0.43,0.45,0.44,"{'close_dollars': '0.4400', 'high_dollars': '0.4500', 'low_dollars': '0.4300', 'mean_dollars': '0.4406', 'open_dollars': '0.4500', 'previous_dollars': '0.4500'}","{'close_dollars': '0.4400', 'high_dollars': '0.4500', 'low_dollars': '0.4400', 'open_dollars': '0.4500'}","{'close_dollars': '0.4300', 'high_dollars': '0.4400', 'low_dollars': '0.4300', 'open_dollars': '0.4400'}"
8175,KXMLBGAME-26APR191420NYMCHC-NYM,1776621600,0.44,0.44,221294.32,60346.18,0.43,0.44,0.44,0.43,0.44,0.43,0.44,0.43,0.44,0.43,0.44,0.43,"{'close_dollars': '0.4400', 'high_dollars': '0.4400', 'low_dollars': '0.4300', 'mean_dollars': '0.4400', 'open_dollars': '0.4300', 'previous_dollars': '0.4400'}","{'close_dollars': '0.4400', 'high_dollars': '0.4400', 'low_dollars': '0.4400', 'open_dollars': '0.4400'}","{'close_dollars': '0.4300', 'high_dollars': '0.4300', 'low_dollars': '0.4300', 'open_dollars': '0.4300'}"
8176,KXMLBGAME-26APR191420NYMCHC-NYM,1776625200,0.4345,0.44,482094.03,298084.39,0.44,0.47,0.53,0.31,0.47,0.46,0.56,0.49,0.31,0.29,0.44,0.43,"{'close_dollars': '0.4700', 'high_dollars': '0.5300', 'low_dollars': '0.3100', 'mean_dollars': '0.4345', 'open_dollars': '0.4400', 'previous_dollars': '0.4400'}","{'close_dollars': '0.4700', 'high_dollars': '0.5600', 'low_dollars': '0.3100', 'open_dollars': '0.4400'}","{'close_dollars': '0.4600', 'high_dollars': '0.4900', 'low_dollars': '0.2900', 'open_dollars': '0.4300'}"
8177,KXMLBGAME-26APR191420NYMCHC-NYM,1776628800,0.6031,0.47,756397.10,394022.40,0.47,0.66,0.74,0.37,0.65,0.64,0.75,0.73,0.38,0.33,0.47,0.46,"{'close_dollars': '0.6600', 'high_dollars': '0.7400', 'low_dollars': '0.3700', 'mean_dollars': '0.6031', 'open_dollars': '0.4700', 'previous_dollars': '0.4700'}","{'close_dollars': '0.6500', 'high_dollars': '0.7500', 'low_dollars': '0.3800', 'open_dollars': '0.4700'}","{'close_dollars': '0.6400', 'high_dollars': '0.7300', 'low_dollars': '0.3300', 'open_dollars': '0.4600'}"
8178,KXMLBGAME-26APR191420NYMCHC-NYM,1776632400,0.5848,0.66,952973.16,501862.66,0.65,0.21,0.9,0.18,0.21,0.2,0.9,0.88,0.19,0.17,0.65,0.64,"{'close_dollars': '0.2100', 'high_dollars': '0.9000', 'low_dollars': '0.1800', 'mean_dollars': '0.5848', 'open_dollars': '0.6500', 'previous_dollars': '0.6600'}","{'close_dollars': '0.2100', 'high_dollars': '0.9000', 'low_dollars': '0.1900', 'open_dollars': '0.6500'}","{'close_dollars': '0.2000', 'high_dollars': '0.8800', 'low_dollars': '0.1700', 'open_dollars': '0.6400'}"
8179,KXMLBGAME-26APR191420NYMCHC-NYM,1776636000,0.0892,0.21,1015848.98,132421.14,0.21,0.01,0.59,0.01,0.01,0.0,0.64,0.24,0.01,0.0,0.21,0.2,"{'close_dollars': '0.0100', 'high_dollars': '0.5900', 'low_dollars': '0.0100', 'mean_dollars': '0.0892', 'open_dollars': '0.2100', 'previous_dollars': '0.2100'}","{'close_dollars': '0.0100', 'high_dollars': '0.6400', 'low_dollars': '0.0100', 'open_dollars': '0.2100'}","{'close_dollars': '0.0000', 'high_dollars': '0.2400', 'low_dollars': '0.0000', 'open_dollars': '0.2000'}"
